요양기관명,시도코드명,시군구코드명,주소,전화번호,개설일자,좌표(x),좌표(y)
친절한약국,전북,전주완산구,"전라북도 전주시 완산구 노송광장로 68, (서노송동)",063-272-3007,20180918,127.1446802,35.8266241
엔젤팜약국,전북,전주완산구,"전라북도 전주시 완산구 백제대로 141, (효자동1가)",063-236-4427,20020115,127.1228367,35.8056117
명일약국,경북,구미시,"경상북도 구미시 인동중앙로 39-4, (황상동)",054-473-7234,20020724,128.4224218,36.1086851
새조은약국,대구,대구남구,"대구광역시 남구 명덕시장길 48, (대명동)",053-656-1414,20110420,128.5856839,35.8451835
후포백두산약국,경북,울진군,"경상북도 울진군 후포면 후포삼율로 128, (후포면)",054-788-5006,20020801,129.4430923,36.6813318
365소룡백제약국,전북,군산시,"전라북도 군산시 공단대로 601, (소룡동)",063-464-7577,20040503,126.6807624,35.9722246
푸른약국,전북,군산시,"전라북도 군산시 공단대로 461, (나운동)",063-463-1888,20110222,126.6911911,35.9632021
투엘약국,전북,군산시,"전라북도 군산시 경촌안3길 11, (조촌동)",063-445-5931,20150504,126.7367397,35.9778085
성심약국,인천,인천부평구,"인천광역시 부평구 부평문화로130번길 48, 1층 (부평동)",032-508-5679,20190225,126.7309635,37.4918061
메디파워약국,서울,광진구,"서울특별시 광진구 뚝섬로 552, (자양동, 삼희빌딩)",02-456-1255,20090722,127.0712962,37.5342962
명인약국,강원,인제군,"강원특별자치도 인제군 남면 신남로58번길 13, (남면)",033-461-0355,20041111,128.0812734,37.9674251
신약국,강원,양양군,"강원특별자치도 양양군 양양읍 양양로 9-1, (양양읍)",033-673-0070,20091207,128.6272076,38.078527
덕수약국,강원,춘천시,"강원특별자치도 춘천시 약사고개길 15, (죽림동)",033-244-4060,20011027,127.7261025,37.8770396
일산약국,강원,원주시,"강원특별자치도 원주시 원일로115번길 7, (일산동)",033-742-8686,20130801,127.9478685,37.3495027
메디팜송약국,강원,삼척시,"강원특별자치도 삼척시 진주로 24, (남양동,남양상가103호)",033-574-3775,20101108,129.1642713,37.4429139
우리들약국,강원,강릉시,"강원특별자치도 강릉시 옥가로 53-1, (교동)",033-645-0106,20030514,128.8999091,37.7612235
홍천종로약국,강원,홍천군,"강원특별자치도 홍천군 홍천읍 홍천로8길 3, ()",033-435-3900,20010910,127.8867738,37.6898453
태백시민약국,강원,태백시,"강원특별자치도 태백시 장성로 27-1, (장성동)",033-581-6178,20020102,129.009345,37.1024916
화천약국,강원,화천군,"강원특별자치도 화천군 화천읍 중앙로 23-1, (화천약국,중앙방앗간)",033-442-0498,20100105,127.7067795,38.1041168
푸른솔약국,강원,원주시,"강원특별자치도 원주시 서원대로 396, 1층 (단구동)",033-766-0545,20130102,127.9488807,37.3307458
파주약국,경기,파주시,"경기도 파주시 조리읍 봉천로 43, (파주약국)",031-943-2922,20150202,126.8069619,37.7435311
효성약국,경북,경주시,"경상북도 경주시 화랑로 107, (동부동)",054-746-3703,19950920,129.2124995,35.8448159
라온온누리약국,서울,양천구,"서울특별시 양천구 신월로 179, 1층 (신월동)",02-6956-0980,20210713,126.8429915,37.5191674
신한약국,전남,강진군,"전라남도 강진군 강진읍 영랑로 35, ()",061-432-8848,20171128,126.7678958,34.638509
장수약국,경북,영덕군,"경상북도 영덕군 강구면 동해대로 4479, (강구면)",054-733-7551,20121106,129.3802552,36.3571707
상록수약국,경북,경산시,"경상북도 경산시 진량읍 초원길 53-5, 초원장미타운 상가 103호",053-853-1023,20050905,128.836326,35.8931763
영남약국,대구,대구남구,"대구광역시 남구 중앙대로29길 33, (대명동)",053-652-2848,20160322,128.5883714,35.846042
소망온누리약국,서울,광진구,"서울특별시 광진구 능동로 318, (중곡동)",02-2201-2236,20030507,127.0801457,37.5579216
고운약국,대구,대구북구,"대구광역시 북구 노원로 74, 1층 (노원동3가)",053-359-3852,20170217,128.5702936,35.8938553
행복을 주는 약국,서울,용산구,"서울특별시 용산구 새창로 70, 212호 (도원동, 도원동삼성래미안)",02-3275-3723,20180820,126.9552549,37.5383839
용산오늘약국,서울,용산구,"서울특별시 용산구 새창로 217, 용산토투밸리 1층 (한강로2가)",02-6390-7377,20180920,126.9677944,37.5302252
성도약국,대구,대구동구,"대구광역시 동구 율하동로23길 21-1, (율하동)",053-962-0937,19980107,128.6997681,35.8699562
혜민약국,경북,구미시,"경상북도 구미시 고아읍 문장로22길 40, (한누리상가 106호)",054-441-0320,20070402,128.3329232,36.1530704
송정약국,경북,구미시,"경상북도 구미시 백산로 141-6, (송정동, 한우상가내)",054-452-8416,19840929,128.3496689,36.1196009
양춘당약국,대구,대구동구,"대구광역시 동구 동촌로 228-1, 1층 (방촌동)",053-982-6900,20110506,128.6650939,35.8812295
수약국,대구,대구동구,"대구광역시 동구 신암로 100, 1층 (신암동)",053-952-5210,20090312,128.6110077,35.8796831
메디슨약국,대구,대구동구,"대구광역시 동구 아양로 199, 1층 (신암동)",053-941-1447,20050302,128.6346812,35.8861011
홍조당약국,대구,대구수성구,"대구광역시 수성구 시지로 55, 112호 (시지동, 노변타운상가)",053-791-0959,19960919,128.6955905,35.8387543
도미약국,강원,철원군,"강원특별자치도 철원군 서면 와수1로 34, (제일 의원)",033-458-2326,20170216,127.4375415,38.2399724
인암종로약국,인천,인천미추홀구,"인천광역시 미추홀구 석정로 327, (도화동)",032-875-0509,19981104,126.6718454,37.4679571
후생당약국,경북,김천시,"경상북도 김천시 김천로 62, (평화동)",054-434-3775,19821119,128.1098572,36.1260672
늘봄약국,인천,인천부평구,"인천광역시 부평구 길주남로 113, (부개동)",032-503-0502,20160126,126.7343078,37.5042047
한솔약국,경북,김천시,"경상북도 김천시 자산로 152-8, (성내동)",054-439-1979,19870624,128.1184592,36.1230384
남선약국,경북,김천시,"경상북도 김천시 김천로 190-2, (남산동)",054-431-5111,19870824,128.1212691,36.119295
이소약국,부산,부산동래구,"부산광역시 동래구 충렬대로107번길 106, (온천동)",051-558-3317,20160126,129.0734525,35.2114528
남촌약국,인천,인천남동구,"인천광역시 남동구 남촌동로35번길 4, (남촌동, 1층일부)",361-6776,20090318,126.7146123,37.4319141
정성약국,대구,대구남구,"대구광역시 남구 중앙대로29길 25, 1층 (대명동)",053-651-0408,20190304,128.5889349,35.8459769
늘푸른약국,대구,대구달서구,"대구광역시 달서구 신당로 56, 104호 (신당동, 주공상가)",053-591-1023,20001023,128.4978648,35.8529098
오현당약국,경북,포항북구,"경상북도 포항시 북구 두호로 24, (두호동)",054-251-8272,20160922,129.3759997,36.0600765
라임약국,서울,중구,"서울특별시 중구 퇴계로 447, 218-1호 (황학동, 황학 아크로타워)",02-2231-6191,20200423,127.0219296,37.5658796
조이약국,서울,중구,"서울특별시 중구 퇴계로 220, 1층 (충무로4가)",02-2269-5948,20210312,126.9962515,37.5615229
약사랑약국,서울,중구,"서울특별시 중구 퇴계로 244, 1층 (충무로5가)",02-2267-0818,20220830,126.9990372,37.5621121
우리일층약국,광주,광주광산구,"광주광역시 광산구 상무대로 258, (송정동)",062-944-5507,20121008,126.7950331,35.1414563
건강신세계약국,경북,안동시,"경상북도 안동시 금곡길 7, (금곡동)",054-855-3434,19871017,128.722089,36.5670629
용문약국,경북,안동시,"경상북도 안동시 중앙로 62, 101호 (동부동)",054-852-8578,20020506,128.7333066,36.5649282
수정약국,대구,대구남구,"대구광역시 남구 두류공원로17길 36, (대명동)",053-624-9456,20000617,128.5684644,35.844338
한미약국,강원,철원군,"강원특별자치도 철원군 서면 와수1로 14, ()",033-458-8067,20140303,127.4369349,38.2381282
온누리 대우당약국,대전,대전대덕구,"대전광역시 대덕구 신탄진로 804, (신탄진동)",042-932-3812,20090206,127.4295019,36.449222
남구로약국,서울,구로구,"서울특별시 구로구 구로동로 33, (가리봉동)",02-838-3104,20190625,126.886052,37.4845983
장우약국,경기,화성시,"경기도 화성시 우정읍 조암남로 8, ()",031-358-7651,20061030,126.8170608,37.0821826
한빛약국,광주,광주광산구,"광주광역시 광산구 상무대로 256, 송정빌딩 1층 (송정동)",062-945-9571,20190212,126.7949016,35.1413395
광산약국,광주,광주광산구,"광주광역시 광산구 상무대로 157, 1층 (송정동)",062-944-0209,20170501,126.789001,35.1339978
은성약국,광주,광주광산구,"광주광역시 광산구 상무대로 260, 1층 (송정동)",062-431-8900,20220317,126.7951132,35.1415777
최약국,광주,광주광산구,"광주광역시 광산구 상무대로 256, 102호 (송정동)",945-7533,20131106,126.7949016,35.1413395
메디팜동국약국,경북,경주시,"경상북도 경주시 금성로 419, (성건동)",054-774-4049,19960323,129.2066083,35.8551906
문앞약국,대구,대구중구,"대구광역시 중구 동덕로26길 10, (삼덕동2가)",053-253-3900,20090929,128.6039701,35.8654831
동호우리약국,대구,대구동구,"대구광역시 동구 금강로 2, (동호동)",053-961-6111,20040203,128.7238584,35.8672755
예림약국,경북,구미시,"경상북도 구미시 선산읍 남문로 26, ()",054-481-0852,20180102,128.3020755,36.2398277
성수약국,인천,인천남동구,"인천광역시 남동구 백범로124번길 7, 122호 (만수동)",462-1808,20030829,126.7333928,37.4555579
초지약국,경기,이천시,"경기도 이천시 대월면 대평로 192, ()",031-632-4538,20070810,127.4967163,37.2236289
새별약국,광주,광주광산구,"광주광역시 광산구 풍영로101번안길 1-7, 1층 104호 (흑석동)",062-710-1011,20230223,126.8111669,35.1802206
명성약국,전북,전주덕진구,"전라북도 전주시 덕진구 안덕원로 159, (인후동2가)",063-9638-6114,19950318,127.1453282,35.8335578
삼성약국,서울,성동구,"서울특별시 성동구 성덕정17길 1, 1층 (성수동2가)",02-464-4827,20190802,127.0552282,37.537441
제일한사랑약국,서울,중랑구,"서울특별시 중랑구 망우로 505, 1층 (망우동)",02-437-1098,20190902,127.1086439,37.6006833
우리약국,대구,대구달서구,"대구광역시 달서구 월배로 58, 1층 (진천동)",053-642-7205,20160901,128.5209447,35.813245
양덕건강한약국,경북,포항북구,"경상북도 포항시 북구 천마로 74, (양덕동)",054-255-1478,20160919,129.3971357,36.0831931
새김천약국,경북,김천시,"경상북도 김천시 모암길 25, (모암동)",054-433-1942,20160929,128.1267219,36.1217196
헬리오메디칼약국,서울,송파구,"서울특별시 송파구 송파대로 345, 상가1A동 2층 2036호 (가락동, 헬리오시티) (가락동, 헬리오시티)",02-400-3815,20190904,127.1072604,37.4976183
녹십자온누리약국,전북,남원시,"전라북도 남원시 용성로 121, (동충동, 동림방앗간)",063-635-8295,20160722,127.389381,35.4103369
월계뉴메디칼약국,서울,노원구,"서울특별시 노원구 월계로 334, 1층 104호 (월계동, 그랑디오피스텔)",02-6951-3479,20220616,127.0576448,37.6289136
나은약국,대구,대구수성구,"대구광역시 수성구 명덕로 438, 104호 (수성동3가)",053-767-7228,20210616,128.6179468,35.8539491
장암프라자 약국,경기,의정부시,"경기도 의정부시 발곡로 34, 107호 (신곡동)",031-826-5571,20030303,127.0586243,37.7308954
신중앙약국,서울,중구,"서울특별시 중구 퇴계로 436, (신당동)",02-2237-9602,20150401,127.0199483,37.5654782
한성약국,서울,동대문구,"서울특별시 동대문구 답십리로 140, 세기프라자 106호 (답십리동)",02-3394-5102,20190425,127.0555973,37.5724894
동해물약국,서울,서초구,"서울특별시 서초구 동광로12가길 42, 1층 (방배동)",02-594-3141,20190429,126.9826143,37.4875211
군자역우리약국,서울,광진구,"서울특별시 광진구 천호대로 556, 1층 (능동)",02-457-2100,20190429,127.0797133,37.5567354
다나약국,대구,대구동구,"대구광역시 동구 팔공로101길 55, 104호 (지묘동, 팔공2차보성아파트상가)",053-986-8477,20070801,128.6426904,35.9407621
백민약국,경북,포항북구,"경상북도 포항시 북구 중흥로191번길 20, (죽도동)",054-273-0511,20030228,129.3546257,36.0220163
타워약국,대구,대구달서구,"대구광역시 달서구 달구벌대로 1744, (두류동)",053-625-2677,20051124,128.5560099,35.856998
상산약국,충북,진천군,"충청북도 진천군 진천읍 중앙동로 56-1, ()",043-532-2067,19891020,127.4447931,36.8549475
삼척종로약국,강원,삼척시,"강원특별자치도 삼척시 오십천로 419, (남양동)",033-575-0067,20090618,129.1643611,37.4408975
한사랑약국,강원,춘천시,"강원특별자치도 춘천시 금강로 35, (소양로3가)",033-257-4334,20000719,127.7263563,37.8813288
금호라인약국,광주,광주서구,"광주광역시 서구 운천로 76, 상가동 2층 205호 (금호동, 금호라인)",062-384-3095,20131209,126.8591015,35.1392644
도담약국,광주,광주남구,"광주광역시 남구 봉선2로 81, (봉선동)",062-673-0008,20170227,126.9152463,35.1261265
순천종로약국,전남,순천시,"전라남도 순천시 신월큰길 1-4, 1층 (조례동)",061-727-2783,20180115,127.5207942,34.9604262
보금당약국,경북,포항남구,"경상북도 포항시 남구 운하로36번길 7, (송도동)",054-283-3727,20190416,129.376312,36.0282045
안동약국,경북,포항남구,"경상북도 포항시 남구 송도로 10, (송도동)",054-282-3035,20001218,129.3720378,36.0337393
서독약국,경북,포항남구,"경상북도 포항시 남구 상공로 131, (대도동)",054-274-1900,19800111,129.3614309,36.0193198
아이파크약국,경북,포항북구,"경상북도 포항시 북구 새천년대로1076번길 21, (두호동)",054-231-2389,20070321,129.3740284,36.0644914
동아약국,대구,대구수성구,"대구광역시 수성구 지범로 59, (지산동)",053-566-0192,20070618,128.629353,35.8260138
새삼성약국,대구,대구수성구,"대구광역시 수성구 범어로 113, (범어동)",053-743-0068,20060713,128.6355049,35.8595576
프라자약국,대구,대구중구,"대구광역시 중구 국채보상로 447, (대신동)",053-563-8828,20080804,128.5797208,35.8706197
소원약국,경북,영천시,"경상북도 영천시 호국로 93, (야사동)",054-332-7003,19921204,128.9474978,35.9750205
필약국,대구,대구수성구,"대구광역시 수성구 달구벌대로 3117, (시지동)",053-792-3903,19950313,128.6981505,35.8427503
세종메디칼약국,충남,천안동남구,"충청남도 천안시 동남구 풍세로 798, 108호 (청당동, 코르지아빌딩)",041-572-0567,20161010,127.1427055,36.7806364
양지약국,강원,영월군,"강원특별자치도 영월군 영월읍 중앙1로 51, 1층",033-375-7100,20141107,128.4656651,37.1857187
하나약국,강원,속초시,"강원특별자치도 속초시 중앙시장로 99, (중앙동)",033-635-2357,20080507,128.5905628,38.2050703
아이약국,강원,원주시,"강원특별자치도 원주시 지정면 신지정로 322, 탑프라자 110호",033-745-3131,20160405,127.8724962,37.3825827
굿모닝약국,강원,원주시,"강원특별자치도 원주시 남원로 528-11, (단구동)",033-764-9375,20120702,127.9479735,37.3306037
정다운온누리약국,강원,강릉시,"강원특별자치도 강릉시 경강로 2108, (임당동)",033-645-1357,20140514,128.8974907,37.7552401
백세약국,강원,정선군,"강원특별자치도 정선군 여량면 서동로 2927, 2927",033-562-1390,20010727,128.7248466,37.4720793
수암약국,서울,노원구,"서울특별시 노원구 광운로 57, 1층 (월계동)",915-8466,20130930,127.0595552,37.6226426
창공약국,부산,부산동구,"부산광역시 동구 진시장로 19, 1층 (범일동)",051-634-3536,19900327,129.0586463,35.1373442
해성약국,부산,부산서구,"부산광역시 서구 충무대로 207-16, 2층 (남부민동)",051-254-8400,20010918,129.0240278,35.0892548
주약동이상약국,경남,진주시,"경상남도 진주시 진주대로816번길 20, (주약동)",055-755-0925,20001204,128.095878,35.174151
영약국,인천,인천미추홀구,"인천광역시 미추홀구 문화로 45, (관교동)",032-441-0814,20010302,126.6975846,37.4431434
참좋은약국,서울,구로구,"서울특별시 구로구 구로중앙로 134, 4층 (구로동)",02-6678-8422,20140721,126.8846199,37.4999176
신태평약국,서울,노원구,"서울특별시 노원구 광운로 45, (월계동)",02-918-1322,20180608,127.0590702,37.6214962
동아사약국,부산,부산동구,"부산광역시 동구 진시장로 19-2, (범일동)",051-646-0090,20160601,129.0589609,35.1373747
서울샤인약국,서울,관악구,"서울특별시 관악구 남부순환로 1451, 1층 (신림동)",02-853-3352,20180810,126.9120309,37.481634
그린약국,서울,관악구,"서울특별시 관악구 남부순환로 1740, 명당빌딩 1층 (봉천동)",02-888-4959,20201209,126.9433531,37.4819053
우리메디컬약국,강원,원주시,"강원특별자치도 원주시 능라동길 51, 시네시티타워 111호 (무실동)",033-744-8877,20200904,127.9301516,37.3348376
드럭스토어동행약국,충남,천안동남구,"충청남도 천안시 동남구 만남로 42, 1층 (신부동)",041-572-6688,20170901,127.156893,36.8186205
열린약국,대구,대구수성구,"대구광역시 수성구 지범로 113, (지산동)",053-781-2363,19991127,128.6329491,35.8248748
보건약국,대구,대구서구,"대구광역시 서구 평리로 158, (중리동)",053-551-0789,20131028,128.5418095,35.8589858
건강한온누리약국,대구,대구동구,"대구광역시 동구 동화천로 390, GH메디컬타워 105호 (지묘동)",053-217-0660,20191226,128.6301991,35.9427829
광림약국,대구,대구수성구,"대구광역시 수성구 범어로 180, (범어동)",053-755-5741,20090202,128.634868,35.8653057
중도한약국,대전,대전동구,"대전광역시 동구 대전로813번길 24, (중동)",042-253-8829,20060424,127.4308168,36.331708
동성약국,경기,화성시,"경기도 화성시 효행로265번길 14, (기안동)",031-223-8275,20050302,126.9737941,37.2247604
세명약국,대구,대구달성군,"대구광역시 달성군 논공읍 남리길 1, (논공읍)",053-616-8880,20120820,128.4483049,35.7270593
호산나약국,광주,광주북구,"광주광역시 북구 북문대로 242, (동림동)",062-512-3450,20220607,126.8657344,35.1872685
다인약국,경북,의성군,"경상북도 의성군 다인면 서릉길 55, (다인면)",054-861-4065,19850206,128.3552302,36.4491521
대진약국,경북,의성군,"경상북도 의성군 다인면 서릉길 61, (다인면)",054-861-4114,19720503,128.3558003,36.4488354
혜성약국,경북,청도군,"경상북도 청도군 금천면 금천로 28, (금천면)",054-372-3219,19791203,128.8926598,35.6917267
신광약국,인천,인천남동구,"인천광역시 남동구 장수로 27, 102호 (장수동, 주공아파트상가)",466-7066,20050713,126.7488268,37.451226
남관약국,충남,천안동남구,"충청남도 천안시 동남구 풍세면 풍세로 465, 1층",041-571-1579,20200819,127.1272676,36.7547339
아름다운약국,서울,도봉구,"서울특별시 도봉구 도봉로 551, (쌍문동)",02-900-5812,20100127,127.0377773,37.654492
굿모닝약국,부산,부산중구,"부산광역시 중구 흑교로52번길 6-1, 1층 (보수동1가)",051-253-1963,20010706,129.0254553,35.1042139
정약국,경북,의성군,"경상북도 의성군 안계면 안계길 148, (안계면)",054-861-0045,19760415,128.4367553,36.3849673
메디팜녹색약국,대구,대구북구,"대구광역시 북구 칠곡중앙대로 349, (태전동)",053-321-0147,19940129,128.5472261,35.9268729
대남약국,경북,김천시,"경상북도 김천시 자산로 183-1, (평화동)",054-433-6066,19941005,128.1177677,36.1266782
참사랑약국,인천,인천남동구,"인천광역시 남동구 복개동로 64, (만수동, 1층일부)",465-4527,20040906,126.725613,37.4534539
청수당약국,인천,인천미추홀구,"인천광역시 미추홀구 석정로 300, (도화동)",032-875-1929,19811016,126.6688096,37.4678799
보생약국,부산,부산동구,"부산광역시 동구 고관로 155, (좌천동)",051-642-0700,20030429,129.0499442,35.1312205
신국제약국,부산,부산해운대구,"부산광역시 해운대구 좌동순환로 402, 110동 105호 (중동, 래미안해운대)",051-746-9593,20050822,129.1765214,35.1636159
동명온누리약국,서울,강남구,"서울특별시 강남구 선릉로64길 5, (대치동, 라이온스빌딩)",555-1950,19861015,127.052649,37.497868
부성한약국,서울,강동구,"서울특별시 강동구 천중로26길 23, (천호동)",02-478-8022,20020604,127.1339199,37.5427533
구로미소약국,서울,구로구,"서울특별시 구로구 서해안로 2338, (오류동)",02-2615-0766,20180702,126.8441772,37.4934967
메디팜사랑약국,경북,청송군,"경상북도 청송군 청송읍 의료원길 9, 9",054-872-8022,20001218,129.0529917,36.4302507
새태평양약국,경기,이천시,"경기도 이천시 이섭대천로 1224, (창전동)",031-634-9967,20000822,127.4470915,37.2795067
세계로약국,경기,이천시,"경기도 이천시 이섭대천로 1220, (창전동)",031-631-3725,20071203,127.4470704,37.2791988
하나로약국,경기,이천시,"경기도 이천시 이섭대천로 1278, (창전동)",031-633-4696,20050105,127.4474794,37.2844563
증포온누리약국,경기,이천시,"경기도 이천시 이섭대천로 1411, 105호 (증포동, 흥인프라자)",031-631-1363,20151203,127.4556417,37.2938832
세진온누리약국,경기,이천시,"경기도 이천시 이섭대천로 1259, (창전동)",031-638-1027,20111013,127.4468337,37.2828778
화창약국,경기,이천시,"경기도 이천시 이섭대천로 1233, (창전동)",031-631-6777,20000811,127.4466117,37.2803727
태평양약국,경북,상주시,"경상북도 상주시 동수로 161, 1층 (무양동)",054-536-6668,20220816,128.1554266,36.4229222
새모범약국,경기,이천시,"경기도 이천시 이섭대천로 1200, (중리동)",031-635-5755,20150528,127.4469273,37.2773644
메디원약국,경기,이천시,"경기도 이천시 이섭대천로 1178-22, 1층 (중리동)",031-631-8658,20120711,127.4475384,37.2763243
오거리 수약국,경기,이천시,"경기도 이천시 이섭대천로 1242, 107호 (창전동, 정곤빌딩)",031-631-7541,20151209,127.4472093,37.2812207
한빛약국,대구,대구수성구,"대구광역시 수성구 달구벌대로 2435, 301동 306호 (범어동, 두산위브더제니스)",053-756-2322,20100826,128.6289865,35.8603108
건강약국,경북,문경시,"경상북도 문경시 중앙로 139, (점촌동)",054-554-2080,20061002,128.2005925,36.5972503
온누리계림약국,경북,경주시,"경상북도 경주시 황성로 18, (황성동)",054-772-7557,19961011,129.2140847,35.8648447
신세계약국,경북,안동시,"경상북도 안동시 서동문로 170, (삼산동)",054-858-0732,20010518,128.730538,36.5662166
참진약국,서울,은평구,"서울특별시 은평구 역말로 40, 무궁화빌딩 (역촌동)",02-356-6588,20200529,126.9146908,37.6056424
하나로약국,경북,의성군,"경상북도 의성군 의성읍 문소3길 104-1, (의성읍)",054-832-9909,20070821,128.6945286,36.3552359
길약국,서울,강서구,"서울특별시 강서구 곰달래로 260, (화곡동, 피앤와이빌딩)",02-2653-6008,20120229,126.8618048,37.5320219
선한약국,경기,부천시,"경기도 부천시 부천로 364, (도당동)",032-676-5381,19821127,126.7849569,37.5165306
화곡부성약국,서울,강서구,"서울특별시 강서구 곰달래로 223, 화곡동상가 104호 (화곡동)",02-722-7585,20180413,126.8577833,37.5318187
동민약국,경기,부천시,"경기도 부천시 경인로134번길 14, (송내동)",032-665-8368,19870807,126.7699615,37.4835321
미래약국,대구,대구남구,"대구광역시 남구 성당로 152-1, 1층 (대명동)",053-625-6868,20060918,128.5692369,35.848131
푸른솔약국,경북,경산시,"경상북도 경산시 경청로221길 3, (백천동)",053-811-0229,20060619,128.7386363,35.8041558
건강온누리약국,서울,강서구,"서울특별시 강서구 곰달래로 271, (화곡동)",02-2642-0012,20001108,126.863165,37.5325118
목동메디약국,서울,강서구,"서울특별시 강서구 곰달래로 272, 1층 103호 (화곡동)",02-2062-0091,20210325,126.8631828,37.5321866
화성약국,대구,대구군위군,"대구광역시 군위군 군위읍 동서1길 17-9, (군위읍)",054-383-2050,20010126,128.5674816,36.237368
백세약국,대구,대구군위군,"대구광역시 군위군 군위읍 중앙길 72, (군위읍)",054-382-0900,20060821,128.56655,36.234643
바로약국,전북,전주완산구,"전라북도 전주시 완산구 홍산중앙로 22, 1층 (효자동3가)",,20200630,127.1093326,35.8155919
세경약국,대구,대구동구,"대구광역시 동구 효서로 5, (효목동)",053-745-0606,20010228,128.6392035,35.8772559
플러스약국,대구,대구서구,"대구광역시 서구 달구벌대로 1691, 303호 (내당동, M플라자)",053-567-5900,20131108,128.5507114,35.8557204
봄약국,대구,대구북구,"대구광역시 북구 칠곡중앙대로 519, 1층 (읍내동)",053-311-4070,20151109,128.5502674,35.9421256
의성프라자약국,경북,의성군,"경상북도 의성군 의성읍 문소3길 110-1, (의성읍)",054-832-6460,20000124,128.6944748,36.3557995
새럭키약국,경북,포항남구,"경상북도 포항시 남구 중앙로 62, (해도동)",054-281-9478,19891207,129.3699353,36.0188115
다솜약국,서울,중랑구,"서울특별시 중랑구 면목로 475, (상봉동)",02-439-1177,20180806,127.0858602,37.5942679
이레약국,서울,성동구,"서울특별시 성동구 성덕정길 78, (성수동2가)",02-464-3050,20190603,127.0521077,37.537848
명보약국,충남,천안동남구,"충청남도 천안시 동남구 중앙로 50, (영성동, 명보약국)",041-522-8119,20020816,127.1530507,36.8029076
라파온누리약국,서울,도봉구,"서울특별시 도봉구 우이천로4길 42, 1층 (창동)",02-995-4998,20151023,127.0417009,37.6340436
나라약국,충남,금산군,"충청남도 금산군 추부면 대학로 32-7, ()",041-751-4689,20220128,127.467925,36.1890569
일번가 온누리 약국,강원,평창군,"강원특별자치도 평창군 진부면 진부중앙로 74-2, ()",033-333-7300,20181024,128.5592848,37.6376755
예원약국,강원,원주시,"강원특별자치도 원주시 치악로 2031-1, (태장동)",033-731-1694,20170921,127.9603728,37.3613138
진부약국,강원,평창군,"강원특별자치도 평창군 진부면 진부중앙로 68-1, ()",033-335-1722,20140120,128.5589561,37.6373331
은빛약국,서울,은평구,"서울특별시 은평구 통일로87길 2, (갈현동)",02-355-5362,20001027,126.9194767,37.6234839
해오름약국,서울,마포구,"서울특별시 마포구 대흥로 34, 1층 (용강동)",02-719-7942,20070102,126.9385845,37.5438099
뽀빠이약국,서울,강남구,"서울특별시 강남구 논현로 868, 1층 101호 (신사동, 구정빌딩)",070-8870-7582,20161222,127.028912,37.5260958
가온약국,서울,서초구,"서울특별시 서초구 강남대로 465, 교보타워 B동 지상1층 (서초동)",02-533-1884,20180822,127.0241492,37.5038061
유한약국,서울,종로구,"서울특별시 종로구 종로 230-2, 1층 (종로5가)",02-2272-4746,20200226,127.0034135,37.5707848
가람약국,대구,대구북구,"대구광역시 북구 칠곡중앙대로 443, (관음동)",053-321-7273,20040308,128.5485422,35.9353304
길음메디칼약국,서울,성북구,"서울특별시 성북구 길음로 2, 1층 (길음동)",02-915-5777,20030411,127.0246817,37.6043599
남문프라자약국,서울,금천구,"서울특별시 금천구 시흥대로 436, (독산동)",02-837-5550,20040503,126.8986872,37.4726101
광진온누리약국,서울,광진구,"서울특별시 광진구 아차산로69길 8, 103, 104호 (광장동)",02-457-8377,20010222,127.0985302,37.5425315
수인약국,서울,동대문구,"서울특별시 동대문구 장한로 119, 3층 305호 (장안동, 삼성쉐르빌빌딩)",02-2216-3301,20021120,127.0705625,37.5713
허브온누리약국,서울,강동구,"서울특별시 강동구 천호대로 1092, 106호 (성내동, SK허브진)",070-8885-5264,20141110,127.1326141,37.5352302
옥수벽산약국,서울,성동구,"서울특별시 성동구 한림말길 56, 1층 (옥수동, 벽산빌라트)",02-2299-9337,20100927,127.0172966,37.5409494
신일약국,서울,은평구,"서울특별시 은평구 은평로 156, 1층 101호 (응암동)",02-388-0648,20010109,126.9249368,37.6007606
바른손약국,서울,동대문구,"서울특별시 동대문구 휘경로 34, (휘경동)",02-3295-4274,20010316,127.0635526,37.5947809
유앤아이온누리약국,서울,중랑구,"서울특별시 중랑구 공릉로2길 13, 도림빌딩 (묵동)",02-973-3188,20050531,127.078741,37.6122136
평화약국,경북,안동시,"경상북도 안동시 단원로 118, (평화동)",054-856-2459,19980506,128.7166144,36.5705771
시지제일약국,대구,대구수성구,"대구광역시 수성구 달구벌대로 3245, (신매동)",053-793-6607,20100617,128.7112769,35.8386543
상주종합약국,경북,상주시,"경상북도 상주시 상산로 266, (남성동)",054-532-7599,20100729,128.1596065,36.4145342
다사랑약국,대구,대구동구,"대구광역시 동구 경안로 791, (각산동)",053-963-6917,20160921,128.713635,35.8728206
선화약국,경북,경산시,"경상북도 경산시 진량읍 봉황길 23, 23",053-854-0010,20060407,128.8206299,35.8846633
100세건강약국,서울,강남구,"서울특별시 강남구 헌릉로571길 7, 강남레체 1층 101호 (세곡동)",,20211028,127.1013669,37.4660449
연희우리약국,인천,인천서구,"인천광역시 서구 심곡로 24, (심곡동)",032-566-4258,20091201,126.6723071,37.5421627
